var_fecha,var_hora,Valor
21/02/2013,12:15:00,15.28222222
21/02/2013,12:30:00,14.325
21/02/2013,12:45:00,14.13388889
21/02/2013,13:00:00,15.09111111
21/02/2013,13:15:00,14.9
21/02/2013,13:30:00,14.03777778
21/02/2013,13:45:00,14.23
21/02/2013,14:00:00,14.61277778
21/02/2013,14:15:00,14.23
21/02/2013,14:30:00,13.17277778
21/02/2013,14:45:00,12.78722222
21/02/2013,15:00:00,12.40111111
21/02/2013,15:15:00,11.81888889
21/02/2013,15:30:00,12.11
21/02/2013,15:45:00,11.43111111
21/02/2013,16:00:00,11.43111111
21/02/2013,16:15:00,11.33388889
21/02/2013,16:30:00,11.13888889
21/02/2013,16:45:00,10.65111111
21/02/2013,17:00:00,10.65111111
21/02/2013,17:15:00,10.55277778
21/02/2013,17:30:00,10.35722222
21/02/2013,17:45:00,10.25888889
21/02/2013,18:00:00,9.965
21/02/2013,18:15:00,9.866111111
21/02/2013,18:19:42,NULL
21/02/2013,18:30:00,9.668888889
21/02/2013,18:45:00,9.571111111
21/02/2013,19:00:00,9.472222222
21/02/2013,19:15:00,9.372777778
21/02/2013,19:30:00,9.372777778
21/02/2013,19:45:00,9.372777778
21/02/2013,20:00:00,9.372777778
21/02/2013,20:10:52,NULL
21/02/2013,20:15:00,9.372777778
21/02/2013,20:23:07,NULL
21/02/2013,20:26:54,NULL
21/02/2013,20:29:21,NULL
21/02/2013,20:30:00,9.372777778
21/02/2013,20:31:57,NULL
21/02/2013,20:35:10,NULL
21/02/2013,20:45:00,9.372777778
21/02/2013,20:56:45,NULL
21/02/2013,21:00:00,9.372777778
21/02/2013,21:15:00,9.372777778
21/02/2013,21:30:00,9.372777778
21/02/2013,21:45:00,9.372777778
21/02/2013,22:00:00,9.372777778
21/02/2013,22:15:00,9.372777778
21/02/2013,22:30:00,9.372777778
21/02/2013,22:45:00,9.275
21/02/2013,23:00:00,9.275
21/02/2013,23:15:00,9.275
21/02/2013,23:30:00,9.176111111
21/02/2013,23:45:00,9.176111111
22/02/2013,0:00:00,9.176111111
22/02/2013,0:15:00,9.176111111
22/02/2013,0:30:00,9.176111111
22/02/2013,0:45:00,9.176111111
22/02/2013,1:00:00,9.176111111
22/02/2013,1:12:28,NULL
22/02/2013,1:15:00,9.077222222
22/02/2013,1:30:00,9.077222222
22/02/2013,1:45:00,9.077222222
22/02/2013,2:00:00,9.077222222
22/02/2013,2:15:00,9.077222222
22/02/2013,2:30:00,9.077222222
22/02/2013,2:45:00,8.977777778
22/02/2013,3:00:00,8.977777778
22/02/2013,3:15:00,8.977777778
22/02/2013,3:30:00,8.977777778
22/02/2013,3:45:00,8.977777778
22/02/2013,4:00:00,8.977777778
22/02/2013,4:15:00,8.977777778
22/02/2013,4:30:00,8.977777778
22/02/2013,4:45:00,8.977777778
22/02/2013,5:00:00,8.977777778
22/02/2013,5:15:00,8.878888889
22/02/2013,5:30:00,8.878888889
22/02/2013,5:45:00,8.977777778
22/02/2013,6:00:00,8.977777778
22/02/2013,6:15:00,8.977777778
22/02/2013,6:30:00,8.977777778
22/02/2013,6:45:00,8.977777778
22/02/2013,7:00:00,9.176111111
22/02/2013,7:15:00,9.275
22/02/2013,7:30:00,9.275
22/02/2013,7:45:00,9.571111111
22/02/2013,7:48:13,NULL
22/02/2013,8:00:00,10.16111111
22/02/2013,8:15:00,10.35722222
22/02/2013,8:30:00,10.55277778
22/02/2013,8:45:00,10.455
22/02/2013,8:54:23,NULL
22/02/2013,9:00:00,10.84611111
22/02/2013,9:10:37,NULL
22/02/2013,9:15:00,11.04111111
22/02/2013,9:30:00,11.43111111
22/02/2013,9:45:00,11.91611111
22/02/2013,9:45:12,NULL
22/02/2013,10:00:00,11.43111111
22/02/2013,10:15:00,11.43111111
22/02/2013,10:30:00,12.11
22/02/2013,10:39:01,NULL
22/02/2013,10:45:00,12.59388889
22/02/2013,10:48:06,NULL
22/02/2013,11:00:00,11.625
22/02/2013,11:05:18,NULL
22/02/2013,11:15:00,11.23611111
22/02/2013,11:18:13,NULL
22/02/2013,11:30:00,12.49722222
22/02/2013,11:45:00,12.30388889
22/02/2013,12:00:00,12.98
22/02/2013,12:15:00,13.84611111
22/02/2013,12:30:00,14.61277778
22/02/2013,12:45:00,14.42111111
22/02/2013,13:00:00,13.84611111
22/02/2013,13:15:00,13.07611111
22/02/2013,13:30:00,12.88277778
22/02/2013,13:45:00,12.59388889
22/02/2013,14:00:00,12.69
22/02/2013,14:15:00,13.26888889
22/02/2013,14:30:00,13.94222222
22/02/2013,14:43:14,NULL
22/02/2013,14:45:00,13.17277778
22/02/2013,15:00:00,13.26888889
22/02/2013,15:15:00,12.78722222
22/02/2013,15:30:00,12.40111111
22/02/2013,15:45:00,11.625
22/02/2013,15:49:01,NULL
22/02/2013,16:00:00,12.01277778
22/02/2013,16:01:16,NULL
22/02/2013,16:15:00,12.20722222
22/02/2013,16:19:03,NULL
22/02/2013,16:25:09,NULL
22/02/2013,16:30:00,11.625
22/02/2013,16:39:18,NULL
22/02/2013,16:45:00,11.43111111
22/02/2013,17:00:00,11.33388889
22/02/2013,17:15:00,11.23611111
22/02/2013,17:28:48,NULL
22/02/2013,17:30:00,10.84611111
22/02/2013,17:37:12,NULL
22/02/2013,17:45:00,10.55277778
22/02/2013,17:47:28,NULL
22/02/2013,17:57:01,NULL
22/02/2013,18:00:00,10.25888889
22/02/2013,18:13:21,NULL
22/02/2013,18:15:00,9.767777778
22/02/2013,18:20:38,NULL
22/02/2013,18:25:11,NULL
22/02/2013,18:29:52,NULL
22/02/2013,18:30:00,9.472222222
22/02/2013,18:38:26,NULL
22/02/2013,18:45:00,9.176111111
22/02/2013,19:00:00,9.077222222
22/02/2013,19:03:24,NULL
22/02/2013,19:15:00,8.977777778
22/02/2013,19:30:00,8.878888889
22/02/2013,19:45:00,8.778888889
22/02/2013,20:00:00,8.68
22/02/2013,20:09:26,NULL
22/02/2013,20:15:00,8.68
22/02/2013,20:30:00,8.581111111
22/02/2013,20:45:00,8.581111111
22/02/2013,21:00:00,8.581111111
22/02/2013,21:15:00,8.68
22/02/2013,21:30:00,8.581111111
22/02/2013,21:45:00,8.581111111
22/02/2013,22:00:00,8.581111111
22/02/2013,22:15:00,8.581111111
22/02/2013,22:30:00,8.581111111
22/02/2013,22:45:00,8.581111111
22/02/2013,23:00:00,8.581111111
22/02/2013,23:15:00,8.581111111
22/02/2013,23:30:00,8.581111111
22/02/2013,23:45:00,8.382222222
23/02/2013,0:00:00,8.382222222
23/02/2013,0:15:00,8.282222222
23/02/2013,0:30:00,8.182222222
23/02/2013,0:45:00,8.182222222
23/02/2013,0:55:17,NULL
23/02/2013,1:00:00,8.082222222
23/02/2013,1:15:00,8.082222222
23/02/2013,1:30:00,8.182222222
23/02/2013,1:45:00,8.182222222
23/02/2013,2:00:00,8.182222222
23/02/2013,2:15:00,8.182222222
23/02/2013,2:30:00,8.182222222
23/02/2013,2:45:00,8.182222222
23/02/2013,3:00:00,8.182222222
23/02/2013,3:15:00,8.182222222
23/02/2013,3:30:00,8.182222222
23/02/2013,3:45:00,8.282222222
23/02/2013,4:00:00,8.282222222
23/02/2013,4:15:00,8.282222222
23/02/2013,4:30:00,8.282222222
23/02/2013,4:45:00,8.282222222
23/02/2013,5:00:00,8.382222222
23/02/2013,5:15:00,8.382222222
23/02/2013,5:30:00,8.282222222
23/02/2013,5:45:00,8.382222222
23/02/2013,6:00:00,8.382222222
23/02/2013,6:15:00,8.382222222
23/02/2013,6:30:00,8.282222222
23/02/2013,6:45:00,8.282222222
23/02/2013,7:00:00,8.382222222
23/02/2013,7:15:00,8.481111111
23/02/2013,7:30:00,8.878888889
23/02/2013,7:45:00,9.176111111
23/02/2013,8:00:00,9.372777778
23/02/2013,8:06:29,NULL
23/02/2013,8:15:00,9.472222222
23/02/2013,8:16:53,NULL
23/02/2013,8:30:00,9.472222222
23/02/2013,8:36:27,NULL
23/02/2013,8:45:00,9.668888889
23/02/2013,9:00:00,10.06277778
23/02/2013,9:15:00,10.06277778
23/02/2013,9:30:00,10.455
23/02/2013,9:45:00,10.74777778
23/02/2013,10:00:00,12.30388889
23/02/2013,10:15:00,13.55777778
23/02/2013,10:30:00,13.365
23/02/2013,10:45:00,12.59388889
23/02/2013,11:00:00,13.365
23/02/2013,11:15:00,13.65388889
23/02/2013,11:30:00,13.75
23/02/2013,11:45:00,13.46111111
23/02/2013,12:00:00,13.94222222
23/02/2013,12:15:00,14.23
23/02/2013,12:30:00,13.46111111
23/02/2013,12:45:00,13.26888889
23/02/2013,13:00:00,12.88277778
23/02/2013,13:15:00,12.98
23/02/2013,13:30:00,13.26888889
23/02/2013,13:45:00,13.07611111
23/02/2013,14:00:00,12.69
23/02/2013,14:15:00,12.30388889
23/02/2013,14:30:00,11.625
23/02/2013,14:45:00,11.33388889
23/02/2013,14:45:05,NULL
23/02/2013,15:00:00,12.01277778
