"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
292;02/03/15 13:14:27;29.1;
293;02/03/15 13:14:48;29.2;
294;02/03/15 13:15:21;29.3;
295;02/03/15 13:15:51;29.4;
296;02/03/15 13:16:27;29.5;
297;02/03/15 13:17:13;29.6;
298;02/03/15 13:18:28;29.7;
299;02/03/15 13:19:16;29.8;
300;02/03/15 13:20:05;29.9;
301;02/03/15 13:21:12;30.0;
302;02/03/15 13:22:08;30.1;
303;02/03/15 13:22:33;30.2;
304;02/03/15 13:22:52;30.3;
305;02/03/15 13:23:08;30.4;
306;02/03/15 13:23:31;30.5;
307;02/03/15 13:23:55;30.6;
308;02/03/15 13:24:28;30.7;
309;02/03/15 13:24:54;30.8;
310;02/03/15 13:25:24;30.9;
311;02/03/15 13:25:52;31.0;
312;02/03/15 13:26:34;31.1;
313;02/03/15 13:27:46;31.2;
314;02/03/15 13:30:25;31.3;
315;02/03/15 13:32:15;31.4;
316;02/03/15 13:34:04;31.5;
317;02/03/15 13:35:54;31.6;
318;02/03/15 13:42:04;31.7;
319;02/03/15 14:43:09;31.8;
320;02/03/15 14:45:15;31.9;
321;02/03/15 15:09:57;32.0;
322;02/03/15 15:13:06;32.1;
323;02/03/15 15:15:42;32.2;
324;02/03/15 15:26:50;32.3;
325;03/03/15 04:31:45;32.4;
326;03/03/15 14:45:14;32.5;
327;03/03/15 15:00:44;32.6;
328;12/03/15 12:24:43;32.6;Registrado
