"TOA5","H5006","CR2xx","No_SN","CR200X.Std.01","nivel_04-12-2017.CR2","20631","Intervalo"
"TIMESTAMP","RECORD","nivel_A_Max","nivel_A_Min","nivel_A_Avg","Temp_C_Max","Temp_C_Min","Temp_C_Avg","batt_volt_Avg"
"TS","RN","m","m","m","Grados","Grados","Grados",""
"","","Max","Min","Avg","Max","Min","Avg","Avg"
"2018-01-12 17:50:00",11332,0.3258964,0.3251971,0.3256074,9.686624,9.675098,9.680712,12.63977
"2018-01-12 17:55:00",11333,0.3259508,0.325204,0.3255887,9.672471,9.661761,9.66715,12.60703
"2018-01-12 18:00:00",11334,0.3258312,0.3253368,0.3255731,9.659217,9.648679,9.654115,12.69013
"2018-01-12 18:05:00",11335,0.3256845,0.3251536,0.325437,9.64577,9.633373,9.639726,12.59998
"2018-01-12 18:10:00",11336,0.3259221,0.3251865,0.3254758,9.629599,9.613756,9.621758,12.5847
"2018-01-12 18:15:00",11337,0.3256109,0.3251853,0.3253981,9.609169,9.590306,9.599817,12.6668
"2018-01-12 18:20:00",11338,0.3255414,0.3252002,0.3253566,9.585293,9.564359,9.574872,12.59125
"2018-01-12 18:25:00",11339,0.3257964,0.3254481,0.3255496,9.559012,9.53523,9.547044,12.57782
"2018-01-12 18:30:00",11340,0.3255518,0.3251955,0.3253639,9.529342,9.506576,9.517944,12.66562
"2018-01-12 18:35:00",11341,0.3254759,0.3251481,0.3253276,9.500604,9.477025,9.489187,12.57211
"2018-01-12 18:40:00",11342,0.3257042,0.3251223,0.3254189,9.470872,9.444989,9.458201,12.56539
"2018-01-12 18:45:00",11343,0.3253072,0.3245449,0.3250709,9.438127,9.40941,9.423841,12.64581
"2018-01-12 18:50:00",11344,0.3253699,0.3247781,0.3250242,9.401924,9.372704,9.387243,12.5716
"2018-01-12 18:55:00",11345,0.3253423,0.3247899,0.3251313,9.365398,9.338661,9.351848,12.55263
"2018-01-12 19:00:00",11346,0.3248611,0.3246479,0.3247567,9.33235,9.306435,9.319398,12.64094
"2018-01-12 19:05:00",11347,0.3252063,0.3246231,0.3249368,9.30046,9.274928,9.287568,12.55851
"2018-01-12 19:10:00",11348,0.3249365,0.3245529,0.3247716,9.268923,9.244566,9.256663,12.54055
"2018-01-12 19:15:00",11349,0.3251491,0.3249157,0.3250081,9.238424,9.21454,9.226361,12.63473
"2018-01-12 19:20:00",11350,0.3250892,0.3247082,0.3248392,9.208261,9.183335,9.195941,12.55414
"2018-01-12 19:25:00",11351,0.3249486,0.3244734,0.3247777,9.177492,9.153585,9.16567,12.53635
"2018-01-12 19:30:00",11352,0.3248134,0.3244475,0.3245761,9.147243,9.121377,9.134311,12.62247
"2018-01-12 19:35:00",11353,0.3250471,0.3243622,0.3246291,9.114646,9.087683,9.101221,12.53937
"2018-01-12 19:40:00",11354,0.3247801,0.3240849,0.3245093,9.080572,9.053113,9.066908,12.52762
"2018-01-12 19:45:00",11355,0.3245753,0.3241421,0.324398,9.045643,9.016205,9.030961,12.61777
"2018-01-12 19:50:00",11356,0.3246696,0.324224,0.3243909,9.008784,8.978552,8.993726,12.52779
"2018-01-12 19:55:00",11357,0.3247171,0.3239418,0.3242953,8.97055,8.939346,8.954825,12.51435
"2018-01-12 20:00:00",11358,0.3244319,0.3239441,0.3242354,8.931651,8.900518,8.91584,12.6025
"2018-01-12 20:05:00",11359,0.3244524,0.3237548,0.3241806,8.892806,8.861494,8.877203,12.52275
"2018-01-12 20:10:00",11360,0.324122,0.3235827,0.3240001,8.853899,8.826744,8.840006,12.51351
"2018-01-12 20:15:00",11361,0.3247278,0.3239676,0.3242362,8.820661,8.797918,8.80913,12.59696
"2018-01-12 20:20:00",11362,0.3246934,0.3241252,0.3243303,8.792495,8.771307,8.781835,12.50797
"2018-01-12 20:25:00",11363,0.324211,0.3236347,0.3238896,8.766402,8.747589,8.757039,12.51133
"2018-01-12 20:30:00",11364,0.3239348,0.3236024,0.3237902,8.742693,8.722683,8.73285,12.58974
"2018-01-12 20:35:00",11365,0.3241815,0.3237149,0.323861,8.717408,8.69471,8.706389,12.50999
"2018-01-12 20:40:00",11366,0.3239364,0.3236094,0.3237821,8.688916,8.663376,8.676203,12.4984
"2018-01-12 20:45:00",11367,0.3238044,0.32338,0.3236479,8.656601,8.628953,8.642759,12.59057
"2018-01-12 20:50:00",11368,0.324036,0.3235426,0.3237796,8.621621,8.590064,8.606047,12.49723
"2018-01-12 20:55:00",11369,0.3238042,0.3234212,0.3235741,8.582171,8.550892,8.566507,12.48968
"2018-01-12 21:00:00",11370,0.3239707,0.3236407,0.3238392,8.543484,8.513889,8.528532,12.58755
"2018-01-12 21:05:00",11371,0.3239248,0.3231232,0.3236139,8.506268,8.475812,8.491186,12.49119
"2018-01-12 21:10:00",11372,0.3235748,0.3231084,0.3233415,8.467626,8.432818,8.450289,12.48967
"2018-01-12 21:15:00",11373,0.3237556,0.3229724,0.3234074,8.424317,8.388044,8.406398,12.57295
"2018-01-12 21:20:00",11374,0.323634,0.3233856,0.3234738,8.378974,8.340119,8.35993,12.48883
