med_fecha;med_hora;med_valor 
24/09/2010;7:59:12;9.657
24/09/2010;8:14:12;9.829
24/09/2010;8:29:12;10.443
24/09/2010;8:44:12;10.638
24/09/2010;8:59:12;11.102
24/09/2010;9:14:12;10.736
24/09/2010;9:29:12;11.759
24/09/2010;9:44:12;11.953
24/09/2010;9:59:12;12.292
24/09/2010;10:14:12;11.637
24/09/2010;10:29:12;10.834
24/09/2010;10:44:12;12.34
24/09/2010;10:59:12;11.443
24/09/2010;11:14:12;10.638
24/09/2010;11:29:12;14.864
24/09/2010;11:44:12;13.329
24/09/2010;11:59:12;11.321
24/09/2010;12:14:12;9.854
24/09/2010;12:29:12;12.582
24/09/2010;12:44:12;12.268
24/09/2010;12:59:12;13.137
24/09/2010;13:14:12;12.968
24/09/2010;13:29:12;11.394
24/09/2010;13:44:12;11.929
24/09/2010;13:59:12;11.88
24/09/2010;14:14:12;12.389
24/09/2010;14:29:12;13.016
24/09/2010;14:44:12;11.856
24/09/2010;14:59:12;11.734
24/09/2010;15:14:12;11.175
24/09/2010;15:29:12;11.346
24/09/2010;15:44:12;11.078
24/09/2010;15:59:12;11.273
24/09/2010;16:14:12;11.005
24/09/2010;16:29:12;10.443
24/09/2010;16:44:12;10.443
24/09/2010;16:59:12;9.534
24/09/2010;17:14:12;9.854
24/09/2010;17:29:12;8.668
24/09/2010;17:44:12;8.195
24/09/2010;17:59:12;7.77
24/09/2010;18:14:12;7.695
24/09/2010;18:29:12;7.469
24/09/2010;18:44:12;7.217
24/09/2010;18:59:12;6.965
24/09/2010;19:14:12;6.484
24/09/2010;19:29:12;6.382
24/09/2010;19:44:12;6.737
24/09/2010;19:59:12;6.56
24/09/2010;20:14:12;6.179
24/09/2010;20:29:12;6.331
24/09/2010;20:44:12;6.484
24/09/2010;20:59:12;5.847
24/09/2010;21:14:12;6
24/09/2010;21:29:12;6.763
24/09/2010;21:44:12;6.458
24/09/2010;21:59:12;5.642
24/09/2010;22:14:12;6.153
24/09/2010;22:29:12;6.408
24/09/2010;22:44:12;6.914
24/09/2010;22:59:12;5.847
24/09/2010;23:14:12;6.051
24/09/2010;23:29:12;5.179
24/09/2010;23:44:12;5.847
24/09/2010;23:59:12;5.693
25/09/2010;0:14:12;5.693
25/09/2010;0:29:12;6.408
25/09/2010;0:44:12;5.539
25/09/2010;0:59:12;5.36
25/09/2010;1:14:12;5.308
25/09/2010;1:29:12;4.636
25/09/2010;1:44:12;6.153
25/09/2010;1:59:12;4.818
25/09/2010;2:14:12;5.385
25/09/2010;2:29:12;5.024
25/09/2010;2:44:12;4.48
25/09/2010;2:59:12;4.844
25/09/2010;3:14:12;4.454
25/09/2010;3:29:12;4.558
25/09/2010;3:44:12;4.947
25/09/2010;3:59:12;4.818
25/09/2010;4:14:12;5.565
25/09/2010;4:29:12;4.688
25/09/2010;4:44:12;4.454
25/09/2010;4:59:12;4.766
25/09/2010;5:14:12;4.662
25/09/2010;5:29:12;4.61
25/09/2010;5:44:12;4.688
25/09/2010;5:59:12;4.973
25/09/2010;6:14:12;4.298
25/09/2010;6:29:12;5.898
25/09/2010;6:44:12;7.645
25/09/2010;6:59:12;8.17
25/09/2010;7:14:12;7.72
25/09/2010;7:29:12;8.817
25/09/2010;7:44:12;7.343
25/09/2010;7:59:12;6.864
25/09/2010;8:14:12;7.92
25/09/2010;8:29:12;8.02
25/09/2010;8:44:12;8.817
25/09/2010;8:59:12;9.756
25/09/2010;9:14:12;8.866
25/09/2010;9:29:12;10.59
25/09/2010;9:44:12;12.437
25/09/2010;9:59:12;12.437
25/09/2010;10:14:12;12.292
25/09/2010;10:29:12;12.63
25/09/2010;10:44:12;13.04
25/09/2010;10:59:12;12.654
25/09/2010;11:14:12;12.485
25/09/2010;11:29:12;12.534
25/09/2010;11:44:12;13.112
25/09/2010;11:59:12;12.92
25/09/2010;12:14:12;13.642
25/09/2010;12:29:12;14.29
25/09/2010;12:44:12;15.581
25/09/2010;12:59:12;13.088
25/09/2010;13:14:12;12.799
