"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Ext. Line Event, mm (LGR S/N: 2412759, SEN S/N: 2412759)","Final de archivo (LGR S/N: 2412759)"
417,22/03/15 16:02:31,41.6,
418,22/03/15 16:04:48,41.7,
419,22/03/15 16:07:47,41.8,
420,22/03/15 16:11:09,41.9,
421,22/03/15 16:14:26,42.0,
422,22/03/15 16:17:11,42.1,
423,22/03/15 16:18:30,42.2,
424,22/03/15 16:19:53,42.3,
425,22/03/15 16:22:03,42.4,
426,22/03/15 16:24:11,42.5,
427,22/03/15 16:25:54,42.6,
428,22/03/15 16:27:28,42.7,
429,22/03/15 16:29:16,42.8,
430,22/03/15 16:32:00,42.9,
431,22/03/15 16:33:18,43.0,
432,22/03/15 16:34:55,43.1,
433,22/03/15 16:37:40,43.2,
434,22/03/15 17:14:59,43.3,
435,22/03/15 17:17:34,43.4,
436,22/03/15 17:20:44,43.5,
437,22/03/15 17:24:10,43.6,
438,22/03/15 17:27:57,43.7,
439,22/03/15 17:31:39,43.8,
440,22/03/15 17:36:00,43.9,
441,22/03/15 17:40:07,44.0,
442,22/03/15 17:44:29,44.1,
443,22/03/15 17:49:58,44.2,
444,22/03/15 17:58:01,44.3,
445,22/03/15 18:04:12,44.4,
446,22/03/15 18:12:15,44.5,
447,22/03/15 18:18:46,44.6,
448,22/03/15 18:25:20,44.7,
449,22/03/15 18:35:00,44.8,
450,23/03/15 12:08:28,44.9,
451,23/03/15 12:12:14,45.0,
452,23/03/15 12:22:34,45.1,
453,23/03/15 12:25:08,45.2,
454,23/03/15 12:26:46,45.3,
455,23/03/15 12:27:53,45.4,
456,23/03/15 12:28:58,45.5,
457,23/03/15 12:30:05,45.6,
458,23/03/15 12:31:52,45.7,
459,23/03/15 12:33:16,45.8,
460,23/03/15 12:34:45,45.9,
461,23/03/15 12:36:05,46.0,
462,23/03/15 12:38:12,46.1,
463,23/03/15 12:41:12,46.2,
464,23/03/15 12:44:07,46.3,
465,23/03/15 12:45:34,46.4,
466,23/03/15 12:46:38,46.5,
467,23/03/15 12:47:27,46.6,
468,23/03/15 12:48:24,46.7,
469,23/03/15 12:49:14,46.8,
470,23/03/15 12:50:10,46.9,
471,23/03/15 12:51:08,47.0,
472,23/03/15 12:52:32,47.1,
473,23/03/15 12:53:58,47.2,
474,23/03/15 12:55:38,47.3,
475,23/03/15 12:57:23,47.4,
476,23/03/15 12:59:22,47.5,
477,23/03/15 13:00:52,47.6,
478,23/03/15 13:02:08,47.7,
479,23/03/15 13:03:12,47.8,
480,23/03/15 13:04:55,47.9,
481,23/03/15 13:06:30,48.0,
482,23/03/15 13:08:12,48.1,
483,23/03/15 13:10:26,48.2,
484,23/03/15 13:12:55,48.3,
485,23/03/15 13:15:30,48.4,
486,23/03/15 13:18:32,48.5,
487,23/03/15 13:21:35,48.6,
488,23/03/15 13:25:23,48.7,
489,23/03/15 13:28:17,48.8,
490,23/03/15 13:29:52,48.9,
491,23/03/15 13:31:27,49.0,
492,23/03/15 13:33:21,49.1,
493,23/03/15 13:35:36,49.2,
494,23/03/15 13:38:45,49.3,
495,23/03/15 13:40:23,49.4,
496,23/03/15 13:41:46,49.5,
497,23/03/15 13:43:24,49.6,
498,23/03/15 13:45:31,49.7,
499,23/03/15 13:49:04,49.8,
500,23/03/15 13:52:36,49.9,
501,23/03/15 13:54:31,50.0,
502,23/03/15 13:56:29,50.1,
503,23/03/15 13:58:15,50.2,
504,23/03/15 14:00:08,50.3,
505,23/03/15 14:02:12,50.4,
506,23/03/15 14:04:35,50.5,
507,23/03/15 14:08:18,50.6,
508,23/03/15 14:15:50,50.7,
509,23/03/15 14:22:09,50.8,
510,23/03/15 14:27:49,50.9,
511,23/03/15 14:33:10,51.0,
512,23/03/15 14:39:11,51.1,
513,23/03/15 14:44:23,51.2,
514,23/03/15 14:49:24,51.3,
515,23/03/15 17:45:18,51.4,
516,23/03/15 17:46:59,51.5,
517,23/03/15 17:48:47,51.6,
518,23/03/15 17:51:31,51.7,
519,23/03/15 17:56:59,51.8,
520,23/03/15 17:58:23,51.9,
521,23/03/15 17:59:25,52.0,
522,23/03/15 18:01:01,52.1,
523,23/03/15 18:02:25,52.2,
524,23/03/15 18:03:40,52.3,
525,23/03/15 18:05:00,52.4,
526,23/03/15 18:06:11,52.5,
527,23/03/15 18:07:20,52.6,
528,23/03/15 18:08:37,52.7,
529,23/03/15 18:09:58,52.8,
530,23/03/15 18:11:30,52.9,
531,23/03/15 18:12:45,53.0,
532,23/03/15 18:14:17,53.1,
533,23/03/15 18:15:45,53.2,
534,23/03/15 18:17:15,53.3,
535,23/03/15 18:18:43,53.4,
536,23/03/15 18:19:56,53.5,
537,23/03/15 18:21:37,53.6,
538,23/03/15 18:23:31,53.7,
539,23/03/15 18:25:47,53.8,
540,23/03/15 18:27:16,53.9,
541,23/03/15 18:28:46,54.0,
542,23/03/15 18:31:09,54.1,
543,23/03/15 21:25:21,54.2,
544,23/03/15 22:31:13,54.3,
545,23/03/15 22:50:38,54.4,
546,23/03/15 23:07:11,54.5,
547,24/03/15 00:01:50,54.6,
548,24/03/15 01:40:52,54.7,
549,24/03/15 01:51:21,54.8,
550,24/03/15 01:57:07,54.9,
551,24/03/15 02:02:59,55.0,
552,24/03/15 02:12:37,55.1,
553,24/03/15 02:36:26,55.2,
554,24/03/15 02:57:08,55.3,
555,24/03/15 03:15:41,55.4,
556,24/03/15 03:39:04,55.5,
557,24/03/15 04:52:53,55.6,
558,24/03/15 17:29:09,55.7,
559,24/03/15 22:19:20,55.8,
560,24/03/15 22:26:09,55.9,
561,25/03/15 06:30:18,56.0,
562,25/03/15 17:17:28,56.1,
563,25/03/15 17:22:36,56.2,
564,25/03/15 17:32:05,56.3,
565,25/03/15 18:00:37,56.4,
566,25/03/15 18:27:15,56.5,
567,25/03/15 18:32:39,56.6,
568,25/03/15 18:36:59,56.7,
569,25/03/15 18:38:42,56.8,
570,25/03/15 18:40:57,56.9,
571,25/03/15 18:43:08,57.0,
572,25/03/15 18:44:59,57.1,
573,25/03/15 18:46:41,57.2,
574,25/03/15 18:49:11,57.3,
575,25/03/15 18:51:06,57.4,
576,25/03/15 18:53:08,57.5,
577,25/03/15 18:56:24,57.6,
578,25/03/15 18:58:57,57.7,
579,25/03/15 19:01:11,57.8,
580,25/03/15 19:03:48,57.9,
581,25/03/15 19:06:50,58.0,
582,25/03/15 19:19:07,58.1,
583,26/03/15 14:32:17,58.2,
584,27/03/15 02:29:59,58.3,
585,27/03/15 13:17:37,58.4,
586,28/03/15 04:01:31,58.5,
587,28/03/15 10:45:53,58.6,
588,29/03/15 03:43:09,58.7,
589,29/03/15 04:00:31,58.8,
590,29/03/15 04:16:13,58.9,
591,29/03/15 04:24:30,59.0,
592,29/03/15 04:30:46,59.1,
593,29/03/15 04:37:50,59.2,
594,29/03/15 04:46:15,59.3,
595,29/03/15 04:52:40,59.4,
596,29/03/15 04:58:14,59.5,
597,29/03/15 05:05:21,59.6,
598,29/03/15 05:13:43,59.7,
599,29/03/15 05:17:23,59.8,
600,29/03/15 05:21:35,59.9,
601,29/03/15 05:26:37,60.0,
602,29/03/15 05:31:20,60.1,
603,29/03/15 05:35:30,60.2,
604,29/03/15 05:42:25,60.3,
605,29/03/15 05:49:43,60.4,
606,29/03/15 05:53:33,60.5,
607,29/03/15 05:57:16,60.6,
608,29/03/15 06:01:45,60.7,
609,29/03/15 06:06:30,60.8,
610,29/03/15 06:11:50,60.9,
611,29/03/15 06:17:59,61.0,
612,29/03/15 06:23:44,61.1,
613,29/03/15 07:32:26,61.2,
614,29/03/15 09:53:26,61.3,
615,29/03/15 09:54:34,61.4,
616,29/03/15 09:55:49,61.5,
617,29/03/15 09:56:58,61.6,
618,29/03/15 09:58:21,61.7,
619,29/03/15 09:59:50,61.8,
620,29/03/15 10:01:26,61.9,
621,29/03/15 10:02:49,62.0,
622,29/03/15 10:04:19,62.1,
623,29/03/15 10:05:35,62.2,
624,29/03/15 10:06:55,62.3,
625,29/03/15 10:08:07,62.4,
626,29/03/15 10:09:17,62.5,
627,29/03/15 10:10:22,62.6,
628,29/03/15 10:11:30,62.7,
629,29/03/15 10:12:28,62.8,
630,29/03/15 10:13:13,62.9,
631,29/03/15 10:14:02,63.0,
632,29/03/15 10:14:51,63.1,
633,29/03/15 10:15:37,63.2,
634,29/03/15 10:16:25,63.3,
635,29/03/15 10:17:11,63.4,
636,29/03/15 10:17:57,63.5,
637,29/03/15 10:18:38,63.6,
638,29/03/15 10:19:24,63.7,
639,29/03/15 10:20:06,63.8,
640,29/03/15 10:20:48,63.9,
641,29/03/15 10:21:29,64.0,
642,29/03/15 10:22:15,64.1,
643,29/03/15 10:23:00,64.2,
644,29/03/15 10:23:46,64.3,
645,29/03/15 10:24:31,64.4,
646,29/03/15 10:25:23,64.5,
647,29/03/15 10:26:14,64.6,
648,29/03/15 10:27:03,64.7,
649,29/03/15 10:27:50,64.8,
650,29/03/15 10:28:36,64.9,
651,29/03/15 10:29:21,65.0,
652,29/03/15 10:30:07,65.1,
653,29/03/15 10:30:48,65.2,
654,29/03/15 10:31:29,65.3,
655,29/03/15 10:32:13,65.4,
656,29/03/15 10:32:59,65.5,
657,29/03/15 10:33:44,65.6,
658,29/03/15 10:34:34,65.7,
659,29/03/15 10:35:18,65.8,
660,29/03/15 10:35:58,65.9,
661,29/03/15 10:36:38,66.0,
662,29/03/15 10:37:21,66.1,
663,29/03/15 10:38:06,66.2,
664,29/03/15 10:38:49,66.3,
665,29/03/15 10:39:36,66.4,
666,29/03/15 10:40:19,66.5,
667,29/03/15 10:41:09,66.6,
668,29/03/15 10:41:58,66.7,
669,29/03/15 10:42:50,66.8,
670,29/03/15 10:43:42,66.9,
671,29/03/15 10:44:31,67.0,
672,29/03/15 10:45:22,67.1,
673,29/03/15 10:46:11,67.2,
674,29/03/15 10:47:01,67.3,
675,29/03/15 10:47:51,67.4,
676,29/03/15 10:48:44,67.5,
677,29/03/15 10:49:36,67.6,
678,29/03/15 10:50:29,67.7,
679,29/03/15 10:51:22,67.8,
680,29/03/15 10:52:20,67.9,
681,29/03/15 10:53:10,68.0,
682,29/03/15 10:54:07,68.1,
683,29/03/15 10:55:00,68.2,
684,29/03/15 10:55:46,68.3,
685,29/03/15 10:56:32,68.4,
686,29/03/15 10:57:20,68.5,
687,29/03/15 10:58:09,68.6,
688,29/03/15 10:59:03,68.7,
689,29/03/15 10:59:59,68.8,
690,29/03/15 11:00:57,68.9,
691,29/03/15 11:01:48,69.0,
692,29/03/15 11:02:37,69.1,
693,29/03/15 11:03:24,69.2,
694,29/03/15 11:04:13,69.3,
695,29/03/15 11:04:57,69.4,
696,29/03/15 11:05:47,69.5,
697,29/03/15 11:06:35,69.6,
698,29/03/15 11:07:31,69.7,
699,29/03/15 11:08:14,69.8,
700,29/03/15 11:09:09,69.9,
701,29/03/15 11:10:03,70.0,
702,29/03/15 11:10:52,70.1,
703,29/03/15 11:11:43,70.2,
704,29/03/15 11:12:33,70.3,
705,29/03/15 11:13:13,70.4,
706,29/03/15 11:14:05,70.5,
707,29/03/15 11:15:03,70.6,
708,29/03/15 11:16:33,70.7,
709,29/03/15 11:17:53,70.8,
710,29/03/15 11:19:02,70.9,
711,29/03/15 11:20:13,71.0,
712,29/03/15 11:21:42,71.1,
713,29/03/15 11:23:08,71.2,
714,29/03/15 11:24:12,71.3,
715,29/03/15 11:25:31,71.4,
