"Título de trazado: JTU_01_PP_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)";"Acoplador separado (LGR S/N: 10390583)";"Acoplador adjunto (LGR S/N: 10390583)";"Host conectado (LGR S/N: 10390583)";"Parado (LGR S/N: 10390583)";"Final de archivo (LGR S/N: 10390583)"
236;02/03/15 01:19:08 PM;23.4;;;;;
237;02/03/15 01:19:19 PM;23.5;;;;;
238;02/03/15 01:19:30 PM;23.6;;;;;
239;02/03/15 01:19:40 PM;23.7;;;;;
240;02/03/15 01:19:50 PM;23.8;;;;;
241;02/03/15 01:19:58 PM;23.9;;;;;
242;02/03/15 01:20:05 PM;24.0;;;;;
243;02/03/15 01:20:12 PM;24.1;;;;;
244;02/03/15 01:20:18 PM;24.2;;;;;
245;02/03/15 01:20:24 PM;24.3;;;;;
246;02/03/15 01:20:33 PM;24.4;;;;;
247;02/03/15 01:20:41 PM;24.5;;;;;
248;02/03/15 01:20:54 PM;24.6;;;;;
249;02/03/15 01:21:12 PM;24.7;;;;;
250;02/03/15 01:21:24 PM;24.8;;;;;
251;02/03/15 01:21:40 PM;24.9;;;;;
252;02/03/15 01:22:00 PM;25.0;;;;;
253;02/03/15 01:22:11 PM;25.1;;;;;
254;02/03/15 01:22:18 PM;25.2;;;;;
255;02/03/15 01:22:26 PM;25.3;;;;;
256;02/03/15 01:22:37 PM;25.4;;;;;
257;02/03/15 01:22:49 PM;25.5;;;;;
258;02/03/15 01:23:07 PM;25.6;;;;;
259;02/03/15 01:23:26 PM;25.7;;;;;
260;02/03/15 01:23:41 PM;25.8;;;;;
261;02/03/15 01:23:58 PM;25.9;;;;;
262;02/03/15 01:24:34 PM;26.0;;;;;
263;02/03/15 01:25:17 PM;26.1;;;;;
264;02/03/15 01:26:03 PM;26.2;;;;;
265;02/03/15 01:26:38 PM;26.3;;;;;
266;02/03/15 01:27:00 PM;26.4;;;;;
267;02/03/15 01:27:13 PM;26.5;;;;;
268;02/03/15 01:27:33 PM;26.6;;;;;
269;02/03/15 01:27:50 PM;26.7;;;;;
270;02/03/15 01:28:14 PM;26.8;;;;;
271;02/03/15 01:28:38 PM;26.9;;;;;
272;02/03/15 01:29:27 PM;27.0;;;;;
273;02/03/15 01:33:09 PM;27.1;;;;;
274;02/03/15 01:42:25 PM;27.2;;;;;
275;02/03/15 02:46:51 PM;27.3;;;;;
276;02/03/15 02:47:59 PM;27.4;;;;;
277;02/03/15 02:48:57 PM;27.5;;;;;
278;02/03/15 02:51:09 PM;27.6;;;;;
279;02/03/15 02:52:20 PM;27.7;;;;;
280;02/03/15 02:54:11 PM;27.8;;;;;
281;02/03/15 02:56:09 PM;27.9;;;;;
282;02/03/15 03:05:32 PM;28.0;;;;;
283;02/03/15 03:14:03 PM;28.1;;;;;
284;02/03/15 03:21:20 PM;28.2;;;;;
285;02/03/15 03:26:51 PM;28.3;;;;;
286;02/03/15 03:34:13 PM;28.4;;;;;
287;03/03/15 01:51:51 PM;28.5;;;;;
288;03/03/15 01:54:19 PM;28.6;;;;;
289;03/03/15 01:56:44 PM;28.7;;;;;
290;03/03/15 01:59:20 PM;28.8;;;;;
291;03/03/15 02:01:04 PM;28.9;;;;;
292;03/03/15 02:11:14 PM;29.0;;;;;
293;03/03/15 02:25:02 PM;29.1;;;;;
294;03/03/15 02:46:44 PM;29.2;;;;;
295;07/03/15 01:26:14 AM;29.3;;;;;
296;07/03/15 02:34:34 AM;29.4;;;;;
297;07/03/15 08:43:58 AM;29.5;;;;;
298;09/03/15 06:51:16 AM;29.6;;;;;
299;10/03/15 04:47:09 AM;29.7;;;;;
300;11/03/15 05:54:50 AM;29.8;;;;;
301;11/03/15 07:34:41 AM;29.9;;;;;
302;11/03/15 07:44:42 AM;30.0;;;;;
303;11/03/15 08:44:47 AM;30.1;;;;;
304;12/03/15 08:44:28 PM;30.2;;;;;
305;12/03/15 09:03:20 PM;30.3;;;;;
306;12/03/15 09:43:11 PM;30.4;;;;;
307;12/03/15 10:25:47 PM;30.5;;;;;
308;13/03/15 12:07:34 AM;30.6;;;;;
309;13/03/15 12:42:05 AM;30.7;;;;;
310;13/03/15 12:56:14 AM;30.8;;;;;
311;13/03/15 02:19:19 AM;30.9;;;;;
312;13/03/15 05:28:10 AM;31.0;;;;;
313;13/03/15 03:08:04 PM;31.1;;;;;
314;13/03/15 03:59:51 PM;31.2;;;;;
315;14/03/15 03:01:19 PM;31.3;;;;;
316;14/03/15 07:11:06 PM;31.4;;;;;
317;15/03/15 10:27:12 AM;31.5;;;;;
318;15/03/15 10:59:44 AM;31.6;;;;;
319;15/03/15 05:04:03 PM;31.7;;;;;
320;15/03/15 05:12:17 PM;31.8;;;;;
321;15/03/15 05:21:32 PM;31.9;;;;;
322;16/03/15 09:32:47 PM;32.0;;;;;
323;17/03/15 04:33:04 PM;32.1;;;;;
324;17/03/15 07:38:39 PM;32.2;;;;;
325;17/03/15 07:41:44 PM;32.3;;;;;
326;17/03/15 07:56:09 PM;32.4;;;;;
327;17/03/15 08:14:32 PM;32.5;;;;;
328;17/03/15 11:02:07 PM;32.6;;;;;
329;17/03/15 11:03:57 PM;32.7;;;;;
330;17/03/15 11:07:23 PM;32.8;;;;;
331;17/03/15 11:10:04 PM;32.9;;;;;
332;17/03/15 11:13:13 PM;33.0;;;;;
333;18/03/15 12:25:07 AM;33.1;;;;;
334;18/03/15 12:49:29 AM;33.2;;;;;
335;18/03/15 01:00:56 AM;33.3;;;;;
336;18/03/15 01:50:43 AM;33.4;;;;;
337;18/03/15 04:50:14 AM;33.5;;;;;
338;18/03/15 06:48:26 AM;33.6;;;;;
339;18/03/15 06:50:46 AM;33.7;;;;;
340;18/03/15 06:52:53 AM;33.8;;;;;
341;18/03/15 06:54:34 AM;33.9;;;;;
342;18/03/15 06:57:11 AM;34.0;;;;;
343;18/03/15 06:59:17 AM;34.1;;;;;
344;18/03/15 07:01:43 AM;34.2;;;;;
345;18/03/15 07:03:53 AM;34.3;;;;;
346;18/03/15 07:06:15 AM;34.4;;;;;
347;18/03/15 07:08:35 AM;34.5;;;;;
348;18/03/15 07:11:35 AM;34.6;;;;;
349;18/03/15 07:15:56 AM;34.7;;;;;
350;18/03/15 07:21:44 AM;34.8;;;;;
351;18/03/15 07:29:33 AM;34.9;;;;;
352;18/03/15 07:35:35 AM;35.0;;;;;
353;18/03/15 07:52:48 AM;35.1;;;;;
354;18/03/15 08:05:22 AM;35.2;;;;;
355;18/03/15 08:11:45 AM;35.3;;;;;
356;18/03/15 08:26:42 AM;35.4;;;;;
357;18/03/15 08:31:30 AM;35.5;;;;;
358;18/03/15 08:37:19 AM;35.6;;;;;
359;18/03/15 08:42:20 AM;35.7;;;;;
360;18/03/15 08:45:43 AM;35.8;;;;;
361;18/03/15 08:48:11 AM;35.9;;;;;
362;18/03/15 08:51:35 AM;36.0;;;;;
363;18/03/15 08:54:46 AM;36.1;;;;;
364;18/03/15 09:00:22 AM;36.2;;;;;
365;18/03/15 09:08:01 AM;36.3;;;;;
366;18/03/15 09:12:17 AM;36.4;;;;;
367;18/03/15 09:15:55 AM;36.5;;;;;
368;18/03/15 09:21:33 AM;36.6;;;;;
369;18/03/15 09:25:08 AM;36.7;;;;;
370;18/03/15 09:27:16 AM;36.8;;;;;
371;18/03/15 09:29:54 AM;36.9;;;;;
372;18/03/15 09:36:42 AM;37.0;;;;;
373;18/03/15 09:37:40 AM;;;Registrado;;;
374;18/03/15 09:38:07 AM;;;;Registrado;;
375;18/03/15 09:41:09 AM;;;;Registrado;;
376;18/03/15 09:41:20 AM;37.0;;;;Registrado;Registrado
