"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
488;05/06/15 09:34:38;48.7;
489;05/06/15 09:39:56;48.8;
490;05/06/15 09:50:11;48.9;
491;05/06/15 10:01:04;49.0;
492;05/06/15 10:23:23;49.1;
493;05/06/15 10:31:24;49.2;
494;05/06/15 10:43:17;49.3;
495;05/06/15 11:01:50;49.4;
496;05/06/15 11:37:32;49.5;
497;05/06/15 11:46:50;49.6;
498;05/06/15 11:55:49;49.7;
499;05/06/15 12:06:27;49.8;
500;05/06/15 12:16:58;49.9;
501;05/06/15 12:41:08;50.0;
502;05/06/15 12:59:10;50.1;
503;05/06/15 13:12:40;50.2;
504;05/06/15 13:55:58;50.3;
505;05/06/15 14:51:08;50.4;
506;05/06/15 14:55:56;50.5;
507;05/06/15 15:54:38;50.6;
508;05/06/15 16:03:42;50.7;
509;05/06/15 16:23:12;50.8;
510;05/06/15 16:29:09;50.9;
511;05/06/15 16:53:16;51.0;
512;05/06/15 17:09:20;51.1;
513;05/06/15 17:14:14;51.2;
514;05/06/15 20:07:05;51.3;
515;05/06/15 20:14:12;51.4;
516;05/06/15 21:29:11;51.5;
517;05/06/15 21:34:44;51.6;
518;05/06/15 21:53:10;51.7;
519;05/06/15 21:58:46;51.8;
520;05/06/15 22:00:54;51.9;
521;05/06/15 22:02:42;52.0;
522;05/06/15 22:08:48;52.1;
523;05/06/15 22:30:19;52.2;
524;06/06/15 03:23:05;52.3;
525;06/06/15 03:36:21;52.4;
526;06/06/15 20:22:58;52.5;
527;06/06/15 20:39:52;52.6;
528;06/06/15 21:09:37;52.7;
529;06/06/15 21:21:44;52.8;
530;06/06/15 21:38:19;52.9;
531;06/06/15 21:42:10;53.0;
532;06/06/15 21:47:17;53.1;
533;06/06/15 21:56:55;53.2;
534;06/06/15 22:14:49;53.3;
535;06/06/15 22:47:46;53.4;
536;06/06/15 23:09:06;53.5;
537;06/06/15 23:16:01;53.6;
538;06/06/15 23:31:52;53.7;
539;07/06/15 00:02:52;53.8;
540;07/06/15 00:28:52;53.9;
541;07/06/15 02:22:09;54.0;
542;07/06/15 02:40:09;54.1;
543;07/06/15 02:53:24;54.2;
544;07/06/15 03:07:11;54.3;
545;07/06/15 04:27:17;54.4;
546;07/06/15 05:07:55;54.5;
547;07/06/15 19:51:49;54.6;
548;07/06/15 20:29:56;54.7;
549;07/06/15 21:18:42;54.8;
550;07/06/15 22:29:41;54.9;
551;08/06/15 02:36:06;55.0;
552;08/06/15 04:44:40;55.1;
553;08/06/15 05:27:55;55.2;
554;08/06/15 05:31:39;55.3;
555;08/06/15 05:33:50;55.4;
556;08/06/15 05:36:50;55.5;
557;08/06/15 05:39:13;55.6;
558;08/06/15 05:42:37;55.7;
559;08/06/15 05:45:00;55.8;
560;08/06/15 05:46:48;55.9;
561;08/06/15 05:48:06;56.0;
562;08/06/15 05:49:48;56.1;
563;08/06/15 05:51:23;56.2;
564;08/06/15 05:53:03;56.3;
565;08/06/15 05:54:35;56.4;
566;08/06/15 05:56:21;56.5;
567;08/06/15 05:58:05;56.6;
568;08/06/15 06:00:29;56.7;
569;08/06/15 06:01:57;56.8;
570;08/06/15 06:03:32;56.9;
571;08/06/15 06:04:42;57.0;
572;08/06/15 06:05:42;57.1;
573;08/06/15 06:06:37;57.2;
574;08/06/15 06:07:31;57.3;
575;08/06/15 06:08:20;57.4;
576;08/06/15 06:09:27;57.5;
577;08/06/15 06:10:20;57.6;
578;08/06/15 06:11:32;57.7;
579;08/06/15 06:12:46;57.8;
580;08/06/15 06:14:06;57.9;
581;08/06/15 06:15:16;58.0;
582;08/06/15 06:16:45;58.1;
583;08/06/15 06:18:12;58.2;
584;08/06/15 06:19:35;58.3;
585;08/06/15 06:20:50;58.4;
586;08/06/15 06:22:25;58.5;
587;08/06/15 06:23:45;58.6;
588;08/06/15 06:25:17;58.7;
589;08/06/15 06:26:52;58.8;
590;08/06/15 06:28:23;58.9;
591;08/06/15 06:30:05;59.0;
592;08/06/15 06:32:21;59.1;
593;08/06/15 06:34:35;59.2;
594;08/06/15 06:36:41;59.3;
595;08/06/15 06:39:51;59.4;
596;08/06/15 06:43:12;59.5;
597;08/06/15 07:11:15;59.6;
598;08/06/15 08:26:15;59.7;
599;08/06/15 08:28:24;59.8;
600;08/06/15 08:31:03;59.9;
601;08/06/15 08:33:08;60.0;
602;08/06/15 08:35:42;60.1;
